event_name,subevent_name,event_code,description,flags
instr_retired_fixed,-,-,-,type=fixed;pmc=0,
unhalted_core_cycles_fixed,-,-,-,type=fixed;pmc=1,
unhalted_ref_cycles_fixed,-,-,-,type=fixed;pmc=2,
instr,-,-,-,type=fixed;pmc=0,
cycles,-,-,-,type=fixed;pmc=1,
unhalted_core_cycles,-,0x3c,-,-,
instr_retired,-,0xc0,-,-,
unhalted_ref_cycles,-,0x3c,-,umask=0x1,
llc_references,-,0x2e,-,umask=0x4f,
llc_references,prefetch,0x2e,-,umask=0x5f,
llc_references,all,0x2e,-,umask=0x7f,
llc_misses,-,0x2e,-,umask=0x41,
llc_misses,prefetch,0x2e,-,umask=0x51,
llc_misses,all,0x2e,-,umask=0x71,
branch_instr_retired,-,0xc4,-,-,
branch_misses_retired,-,0xc5,-,-,
l2_lines_in,-,0x24,-,umask=0x40,
l2_lines_in,prefetch,0x24,-,umask=0x50,	
l2_lines_in,all,0x24,-,umask=0x70,
bus_trans_burst,-,0x6e,-,umask=0x40,
bus_trans_burst,core,0x6e,-,umask=0x40,
bus_trans_burst,this_agent,0x6e,-,umask=0xc0,
bus_trans_burst,all_agents,0x6e,-,umask=0xe0,
